title,link,pub_date,description,sentiment_label,sentiment_score
"Southport killer's parents failed in 'moral duty' to report son, public inquiry finds",https://www.bbc.com/news/articles/cx2rgyeqv1yo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 19:26:15 GMT","Failing to appreciate the danger the killer posed led to ""catastrophic consequences"", an inquiry finds.",negative,-0.167
Five key failures of killer's parents and agencies ahead of Southport attack,https://www.bbc.com/news/articles/c239zz1m324o?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 13:46:41 GMT",Inquiry Chair Sir Adrian Fulford said the Southport attack could have been prevented if authorities and the killer's parents had acted more quickly.,positive,0.278
EasyJet passengers describe EU border 'nightmare' after flight leaves without them,https://www.bbc.com/news/articles/cn897e8280do?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 12:56:34 GMT",Airlines warn of further disruption due to the introduction of a new EU digital border control system.,neutral,0.003
Henry Zeffman: Starmer seeks closer ties with EU - and doesn't mind reopening Brexit divisions,https://www.bbc.com/news/articles/c0rxj4yygdwo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 12:13:42 GMT",Keir Starmer's approach has provoked anger from the Conservatives and Reform UK.,negative,-0.7
Italian PM condemns ally Trump over 'unacceptable' Pope criticism,https://www.bbc.com/news/articles/cp841y07w5xo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 17:32:43 GMT","Italy's prime minister and the US president are close allies, but Trump has refused to apologise to the ""very weak"" Pope Leo XIV.",negative,-0.244
Ex-Nigerian oil minister denies taking bribes,https://www.bbc.com/news/articles/crl141ern74o?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 16:05:59 GMT",Diezani Alison-Madueke is accused of living “a life of luxury” in the UK at properties paid for and refurbished by industry figures.,neutral,0.0
Orbán era swept away by Péter Magyar's Hungary election landslide,https://www.bbc.com/news/articles/cd9vg782kx7o?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 11:03:12 GMT","Viktor Orbán's 16-year rule is over, defeated by a 45-year-old ex-party insider who convinced a majority of Hungarians to oust him.",neutral,0.0
Man who threw girlfriend from tower block jailed,https://www.bbc.com/news/articles/cedeze6w5wqo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 14:38:16 GMT","Jordan Herring, 22, is jailed for five years following the attack in November 2022.",neutral,0.0
Trump deletes post depicting him as Jesus-like figure after backlash,https://www.bbc.com/news/articles/c17v8y0z9z2o?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 17:37:49 GMT",Christian allies of the president call the AI-generated image offensive as Trump says he thought it showed him as a doctor.,neutral,0.0
Britney Spears goes into rehab after driving under the influence arrest,https://www.bbc.com/news/articles/ckgw8dy08m9o?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 08:14:14 GMT","The singer voluntarily checks herself into a treatment facility, three weeks before her court date.",neutral,-0.05
Lib Dems call for inquiry into Farage Bitcoin deal,https://www.bbc.com/news/articles/cd9vgw2g3w2o?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 20:26:12 GMT",The Reform UK leader is a shareholder in British bitcoin company Stack and appeared in a promotional video.,neutral,0.0
US blockade of Iranian ports explained in two minutes,https://www.bbc.com/news/videos/cd9vg5vggvqo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 17:33:26 GMT",The BBC's security correspondent Frank Gardner explains how the US blockade of Iranian ports will work.,neutral,0.0
This blockade is a gamble. Will it work?,https://www.bbc.com/news/articles/ckgw8w7mzxgo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 15:27:43 GMT",The US military is gambling on the blockade denying Iran vital trade - but questions remain on whether the bet will pay off.,neutral,0.0
"Israelis war-weary but most oppose Iran ceasefire, poll suggests",https://www.bbc.com/news/articles/clyxgxyeqpgo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 19:20:08 GMT","The vast majority did not believe Hezbollah or Iran had been severely weakened by weeks of Israeli and US attacks, according to the poll.",positive,0.25
Tracking the ships crossing the Strait of Hormuz,https://www.bbc.com/news/articles/c3w39lg84w2o?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 16:37:57 GMT",The first vessel has crossed the Strait of Hormuz after the US imposed a military blockade of Iran's ports.,neutral,0.075
"Trump threat to Iranian civilians 'wrong', Starmer says",https://www.bbc.com/news/articles/cd7j0p09j7no?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 16:18:38 GMT","The PM condemns the US president's threat that a ""whole civilisation"" would die unless Iran agreed to end the war.",negative,-0.15
"Euphoria is back with more shock and scandal, but mixed reviews",https://www.bbc.com/news/articles/cr51lzjljnyo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 12:03:12 GMT",Many critics say the third season of the hit HBO drama doesn't live up to its previous heights.,positive,0.139
"Katya Adler: Celebration in Budapest, relief in Brussels but a blow for Moscow",https://www.bbc.com/news/articles/cn0wzxqyx17o?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 08:28:35 GMT","European leaders share Hungarians' joy over the ousting of Vladimir Putin's EU ally, writes the BBC's Europe editor.",positive,0.4
Where does McIlroy rank among golf's greats after Masters defence?,https://www.bbc.com/sport/golf/articles/cz78ge3g77qo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 04:16:11 GMT",Rory McIlroy has added a rare Masters defence to the career Grand Slam - now he is aiming to keep climbing the all-time list of major victories.,neutral,0.016
How do you rebuild your life after marrying a conman?,https://www.bbc.com/news/articles/c20q97yy21ro?at_medium=RSS&at_campaign=rss,"Sun, 12 Apr 2026 23:40:46 GMT","A woman who wed a romance conman says victims receive abuse on social media ""blaming"" them.",neutral,0.033
The surprising reality of how teenage girls still define themselves,https://www.bbc.com/news/articles/c62je1g000eo?at_medium=RSS&at_campaign=rss,"Sun, 12 Apr 2026 23:06:03 GMT","Despite strides in feminism, why do teen girls still seem to view themselves through the lens of boys?",positive,0.233
'I should have been safe on a pavement' - woman's injuries show reality of being hit by an e-bike,https://www.bbc.com/news/articles/c4glry7k2z9o?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 04:58:30 GMT","Sandy Peters broke her nose, cheekbones and teeth when she was crashed into by a Forest e-bike rider.",positive,0.5
Ranking the biggest Premier League title slip-ups,https://www.bbc.com/sport/football/articles/c0ljk11e390o?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 12:22:16 GMT","With Arsenal desperate to banish their title-bottling demons, we look at the top 10 teams who have let Premier League leads slip.",neutral,-0.05
Deep-fried food and daily sausage rolls banned in new school dinner plans,https://www.bbc.com/news/articles/c624vezv52do?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 08:36:55 GMT","Schools are being told to cut down on sugary desserts, and provide more vegetables and whole grains.",positive,0.136
Woman fined £40 for £4k sale of fake Oasis tickets,https://www.bbc.com/news/articles/c0q93213jw1o?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 14:58:01 GMT","Rosie Slater is also handed a 12-month community order after making £4,000 from fraudulent sales.",negative,-0.5
US judge dismisses $10bn Trump defamation suit against Wall Street Journal,https://www.bbc.com/news/articles/c995j57xepmo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 14:30:27 GMT","Trump sued the newspaper and its owners, including Rupert Murdoch, in a Florida federal court over a birthday book for Jeffrey Epstein.",neutral,0.0
Rapper Offset hits Coachella stage days after being shot,https://www.bbc.com/news/articles/clyxzk4044po?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 11:09:37 GMT","After his performance, the former Migos rapper was described by his mum as a ""miracle walking"".",neutral,0.0
Palestine Action group cleared of violent disorder,https://www.bbc.com/news/articles/cwyvgvwvpqlo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 16:59:05 GMT",The three defendants continue to face a charge of criminal damage.,negative,-0.367
Is the bite of the false widow spider dangerous?,https://www.bbc.com/news/articles/cwyvg1jyry0o?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 13:41:57 GMT",Experts say noble false widow spiders could be to blame for an increase in bites being treated in hospital.,negative,-0.2
Roblox defends expanded age‑checks after parents raise concerns over errors,https://www.bbc.com/news/articles/cj94y9r0p10o?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 12:19:13 GMT","With 144m daily users, the gaming company is extending its tech to introduce two age‑specific accounts.",neutral,0.0
"The ""Systemic Failures"" Before The Southport Attack",https://www.bbc.co.uk/sounds/play/p0nbywqg?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 19:03:00 GMT",Inquiry finds Southport killer's family and authorities could have prevented attack.,neutral,0.0
McIlroy makes major warning after Masters triumph,https://www.bbc.com/sport/golf/articles/cj0vdv3qzpdo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 14:47:23 GMT","After retaining his Masters title, Rory McIlroy spent four hours dealing with presentations and interviews but was still smiling for the final one, writes Iain Carter.",neutral,-0.013
Man Utd's Martinez sent off for hair-pull against Leeds,https://www.bbc.com/sport/football/articles/c145mdge2gdo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 20:39:35 GMT",Manchester United defender Lisandro Martinez is sent off after 56 minutes for pulling the hair of Leeds United striker Dominic Calvert-Lewin at Old Trafford.,neutral,0.1
Spurs captain Romero out for rest of season with injury,https://www.bbc.com/sport/football/articles/c98mqrpz50vo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 15:51:49 GMT",Tottenham captain Cristian Romero is set to miss the rest of the season with the knee injury he sustained in their 1-0 defeat at Sunderland.,neutral,0.0
Another Sunday In Hell: The brutal race that thwarts the greats,https://www.bbc.com/sport/cycling/articles/cx2vld6yl3no?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 10:25:03 GMT",Paris-Roubaix's remains elite's sport's most volatile journey of daring and dust. And the Hell of the North is the one race legend Tadej Pogacar still can't win.,positive,0.142
Liverpool can do special things against PSG - Slot,https://www.bbc.com/sport/football/articles/c203ly4y5zeo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 17:55:34 GMT",Liverpool boss Arne Slot on why his side believe they can overcome a two-goal deficit against reigning champions Paris St-Germain in the Champions League on Tuesday.,positive,0.357
Anderson inspires Lancashire to dramatic win,https://www.bbc.com/sport/cricket/articles/cy01378w4jxo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 14:28:48 GMT",James Anderson takes 4-18 as Lancashire dismiss Derbyshire for 108 to win by 29 runs at Old Trafford.,positive,0.317
